Name BD;Total Nb of Images;Nb of triplets (train) ;IsDiffFaces;Crop Value;Db_Train;With Pretraining;NbEpoches;BS;WD;LR; Archit;Optimizer; LossType - Weighted Classes;Loss1;Loss2;Loss3;f1_score1;f1_score2;f1_score3;best_f1_score;best_epoch;f1_pos_valid;f1_neg_valid;f1_test;training_time ;all_losses;all_f1
ds_0123456 - ds_CASIA-WebFace1.zip;;;True;(150, 200);No Specification;autoencoder;100;32;1;1;1default;Adam;triplet_loss True;/;/;4.28;/;/;50, 23;;;;;;;;
"gbrieven; lfw;faceScrub;cfp";61 100;30273;True;(150, 200);all C1;autoencoder (100);100;32;1;ExpLR_0.001;4AlexNet;Adam;cross_entropy False;;;;53;59;59;59;5;;;55;;;
ds_gbrievencfplfwfaceScrub;26572;30273;True;(200, 150);gbrievencfplfwfaceScrub;autoencoder;100;32;1;(0.001, 'StepLR');4AlexNet;Adam;triplet_loss False;48.14068;15.90305;15.66504;54.15137;78.39721;81.62236;81.86312;76;;;9.22986;53242.6732609272;;
ds_gbrieven_filteredlfw_filtered;12809;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;7;32;1;(0.0001, 'StepLR');1default;Adam;cross_entropy False;133.08414;133.08415;133.08415;33.33333;33.33333;33.33333;33.33333;0;;;['(133.08415, 33.33333)', '33.33333'];564.3665080070496;[133.08414, 133.08415, 133.08415, 133.08415, 133.08415, 133.08415, 133.08415];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;10;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False False;1.2;1.2;1.2;33.33333;100.0;100.0;100.0;1;;;['(1.2, 100.0)', '100.0'];54.04061818122864;[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2];[33.33333, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;10;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False;1.2;1.2;1.2;33.33333;100.0;100.0;100.0;1;;;['(1.2, 100.0)', '100.0'];49.49018740653992;[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2];[33.33333, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;10;32;1;(0.0001, 'StepLR');1default;Adam;cross_entropy False;8.31986;8.31914;8.31914;33.33333;33.33333;33.33333;33.33333;0;;;['(8.31914, 33.33333)', '33.33333'];44.16321086883545;[8.31986, 8.31951, 8.31919, 8.31917, 8.31914, 8.31914, 8.31913, 8.31914];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;10;32;1;(0.0001, 'StepLR');1default;Adam;constrastive_loss False;0.00479;0.00479;0.00479;33.33333;100.0;100.0;100.0;1;;;['(0.00479, 100.0)', '100.0'];47.687830448150635;[0.00479, 0.00479, 0.00479, 0.00479, 0.00479, 0.00479, 0.00479, 0.00479, 0.00479];[33.33333, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
ds_cfp_humFilteredgbrieven_filteredlfw_filteredfaceScrub_humanFiltered;22632;15785;True;(200, 150);cfp_humFilteredgbrieven_filteredlfw_filteredfaceScrub_humanFiltered;autoencoder;100;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False;32.80005;32.80005;32.80005;100.0;100.0;100.0;100.0;0;;;['(32.80005, 100.0)', '100.0'];3503.023003578186;[32.80005, 32.80005, 32.80005, 32.80005, 32.80005, 32.80005, 32.80005, 32.80005, 32.80005];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;100;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False;1.2;1.2;1.2;33.33333;100.0;100.0;100.0;1;;;['(1.2, 100.0)', '100.0'];204.5006194114685;[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2];[33.33333, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
ds_cfp70;520;520;True;(200, 150);cfp70;autoencoder;100;32;1;(0.0001, 'StepLR');1default;Adam;triplet_loss_False;3.0;3.0;3.0;33.33333;33.33333;33.33333;33.33333;0;;;['(3.0, 33.33333)', '33.33333'];28.568177223205566;[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
ds_gbrieven_filteredlfw_filtered;13095;7806;True;(200, 150);gbrieven_filteredlfw_filtered;autoencoder;100;32;1;(0.001, 'StepLR');1default;Adam;triplet_loss_False;19.2;19.2;19.2;33.33333;33.33333;33.33333;33.33333;0;;;['(19.2, 33.33333)', '33.33333'];359.78778982162476;[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2];[33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333, 33.33333]
