nb_repet;gallery_size;nb_probes;im_per_pers;db_test;model name;thresh;distance metric;Nb_inst_probes;With_synthet;nb_correct_vote;nb_correct_dist;EER;ComputationTime
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;2.3333333333333335;2.6666666666666665;;266.2122948169708
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.8333333333333333;2.5;;266.99947118759155
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.5;2.3333333333333335;;268.03153109550476
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;0.8333333333333334;;395.73531889915466
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.6666666666666667;1.8333333333333333;;1037.782380104065
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;0.3333333333333333;0.6666666666666666;;345.21662306785583
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.6666666666666667;1.0;;399.6588292121887
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.8333333333333334;0.8333333333333334;;247.3157639503479
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.0;1.8333333333333333;;290.82121777534485
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.6666666666666666;2.3333333333333335;;276.9600052833557
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.0;1.0;;309.18753004074097
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;0.8333333333333334;1.1666666666666667;;345.0498700141907
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;0.8333333333333334;1.5;;322.3892650604248
6;20;5;4;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;2.0;2.6666666666666665;;83.10916996002197
6;20;5;4;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;0.8333333333333334;1.0;;84.87392997741699
6;20;5;4;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;1.5;1.5;;87.04155921936035
6;20;5;4;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.0;1.5;;82.76153087615967
6;20;5;4;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.3333333333333333;2.0;;82.91970324516296
6;20;5;4;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;0.6666666666666666;0.5;;84.14144802093506
6;20;5;4;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;;;1.3333333333333333;1.1666666666666667;;81.93577814102173
6;20;5;4;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;;;0.8333333333333334;1.3333333333333333;;84.29008984565735
6;20;5;4;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;;;1.3333333333333333;1.8333333333333333;;82.60789084434509
6;20;5;4;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;;;1.1666666666666667;1.0;;82.64889812469482
6;20;5;5;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;;;1.6666666666666667;2.5;;281.7842528820038
